feature,win_rate_d1,win_rate_d10,win_rate_gap,top3_rate_gap,n_rows
horse_win_rate_track,0.07614678899082569,0.20954420312022026,0.13339741412939457,0.21788368727448942,32697
trainer_win_rate,0.026801517067003792,0.20257966616084977,0.17577814909384598,0.350815349976052,39548
last5_avg_finish,0.25660377358490566,0.019681854947425182,-0.23692191863748047,-0.5056382122890413,37098
last3_avg_style_score,0.06981132075471698,0.17255324885413859,0.1027419280994216,0.19633963862942838,37098
last_body_weight_delta,0.09652197357778376,0.12270765911542611,0.026185685537642348,0.07126975900190885,37082
last3_avg_time_index,0.11293800539083558,0.03127527635481262,-0.08166272903602295,-0.1951110397307053,37098
horse_best_time_index,0.10727762803234502,0.06416823941763279,-0.043109388614712224,-0.11584758862212483,37098
