exotic_profile,n_races,win_hit_rate,win_roi_pct,sanren_hit_rate,sanren_roi_pct,wide_roi_pct
堅,351,0.5584045584045584,89.21875,0.42165242165242167,80.29353233830847,84.6268656716418
荒,140,0.42142857142857143,71.21212121212122,0.17857142857142858,66.48611111111111,91.99074074074073
