decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,last3_avg_finish,3634,1,2.3333,1.7480222069345075,0.25123830489818383,0.5773252614199229
2,last3_avg_finish,3634,2.3333,3.3333,2.936068767198679,0.15492570170610898,0.45019262520638414
3,last3_avg_finish,3634,3.3333,4,3.74927479361585,0.12190423775454046,0.375894331315355
4,last3_avg_finish,3634,4,4.6667,4.434963924050633,0.10374243258117777,0.33984589983489266
5,last3_avg_finish,3634,4.6667,5.3333,5.094927215189873,0.08585580627407816,0.2938910291689598
6,last3_avg_finish,3634,5.3333,6,5.7613858007705,0.07677490368739681,0.25316455696202533
7,last3_avg_finish,3633,6,7,6.450269997247454,0.059179741260666115,0.22213047068538397
8,last3_avg_finish,3633,7,7.6667,7.243594219653179,0.04872006606110652,0.1968070465180292
9,last3_avg_finish,3633,7.6667,8.6667,8.191902229562345,0.03220478943022296,0.13790255986787778
10,last3_avg_finish,3633,8.6667,12,9.81988929259565,0.02257087806220754,0.08698045692265345
