date,label,n_races,win_bets,win_hit_rate,win_roi_pct,place_bets,place_roi_pct,sanren_bets,sanren_hit_rate,sanren_roi_pct,sanrentan_bets,sanrentan_hit_rate,sanrentan_roi_pct,wide_bets,wide_roi_pct,win_ken_share,exotic_ken_share,exotic_high_share
20260701,20260701,12,7,0.42857142857142855,52.85714285714286,7,87.14285714285714,11,0.5454545454545454,92.58064516129032,7,0.42857142857142855,248.92857142857144,11,116.12903225806453,0.5833333333333334,0.6666666666666666,0.9166666666666666
20260702,20260702,12,7,0.2857142857142857,57.14285714285714,7,61.42857142857143,9,0.2222222222222222,70.98039215686275,6,0,0,9,67.60000000000001,0.5833333333333334,0.5,0.75
20260703,20260703,12,7,0.5714285714285714,135.71428571428572,7,80,10,0.5,143.68421052631578,7,0.14285714285714285,123.92857142857143,10,132.22222222222223,0.5833333333333334,0.5833333333333334,0.8333333333333334
20260708,20260708,12,7,0.42857142857142855,90,7,94.28571428571428,11,0.5454545454545454,99.36507936507937,8,0,0,11,98.21428571428571,0.5833333333333334,0.6666666666666666,0.9166666666666666
20260709,20260709,12,8,0.625,101.25,8,126.25,11,0.5454545454545454,105.46875,9,0,0,11,80.37037037037037,0.6666666666666666,0.75,0.9166666666666666
20260710,20260710,12,9,0.6666666666666666,126.66666666666666,9,87.77777777777777,10,0.3,20,8,0,0,10,77.60000000000001,0.75,0.6666666666666666,0.8333333333333334
20260715,20260715,12,9,0.4444444444444444,54.44444444444444,9,75.55555555555556,11,0.2727272727272727,29.53846153846154,10,0.1,57.75,11,70.38461538461539,0.75,0.8333333333333334,0.9166666666666666
20260716,20260716,12,10,0.7,105,10,90,8,0.5,165.83333333333334,8,0.375,456.87499999999994,8,76,0.8333333333333334,0.75,0.6666666666666666
20260717,20260717,12,8,0.625,106.25,8,76.25,11,0.36363636363636365,43.75,9,0.2222222222222222,116.11111111111111,11,65.51724137931035,0.6666666666666666,0.75,0.9166666666666666
20260722,20260722,12,8,0.5,86.25,8,87.5,12,0.4166666666666667,92.20588235294119,8,0.375,356.5625,12,66.36363636363637,0.6666666666666666,0.6666666666666666,1
20260723,20260723,12,7,0.14285714285714285,15.714285714285714,7,61.42857142857143,12,0.16666666666666666,22.98507462686567,7,0,0,12,57.1875,0.5833333333333334,0.5833333333333334,1
20260724,20260724,12,5,0.4,60,5,84,11,0.45454545454545453,42.833333333333336,5,0,0,11,74.13793103448276,0.4166666666666667,0.4166666666666667,0.9166666666666666
20260729,20260729,12,7,0.42857142857142855,100,7,85.71428571428571,10,0.3,30.517241379310345,8,0,0,10,85.65217391304348,0.5833333333333334,0.75,0.8333333333333334
20260730,20260730,12,8,0.625,98.75,8,83.75,11,0.5454545454545454,69.35483870967742,7,0.14285714285714285,30.357142857142854,11,106.89655172413792,0.6666666666666666,0.5833333333333334,0.9166666666666666
20260731,20260731,11,10,0.6,100,10,90,9,0.5555555555555556,69.81481481481482,9,0.2222222222222222,88.88888888888889,9,56.666666666666664,0.9090909090909091,0.9090909090909091,0.8181818181818182
