pop_bin,n,win_rate,top3_rate,mean_odds
"[1,2]",7569,0.32936979785969084,0.6809353943717796,3.0126304663760073
"(2,3]",3783,0.12053925455987312,0.4853291038858049,7.174544012688343
"(3,4]",3787,0.08449960390810668,0.36757327700026404,12.024768946395564
"(4,6]",7505,0.04596935376415723,0.2423717521652232,25.87053964023984
"(6,9]",10278,0.01595641175325939,0.10147888694298501,84.5726600505935
"(9,Inf]",5268,0.0026575550493545936,0.026955201214882308,211.92699316628702
