track_condition,n_bets,hit_rate,roi_pct
good,21323,0.09928246494395723,67.12751489002486
heavy,1652,0.09745762711864407,80.09685230024213
soft,4701,0.1001914486279515,65.29887258030206
yielding,10629,0.09925675039984946,63.26277166243297
