vol,label,n_races,win_bets,win_hit_rate,win_roi_pct,place_bets,place_roi_pct,sanren_bets,sanren_hit_rate,sanren_roi_pct,sanrentan_bets,sanrentan_hit_rate,sanrentan_roi_pct,wide_bets,wide_roi_pct,win_ken_share,exotic_ken_share,exotic_high_share
stable,stable,70,65,0.5076923076923077,84.3076923076923,65,88.46153846153845,66,0.5606060606060606,76.66666666666667,66,0.12121212121212122,87.23484848484848,66,76.36363636363637,0.9285714285714286,1,0.9428571428571428
volatile,volatile,109,52,0.5192307692307693,92.3076923076923,52,81.15384615384616,91,0.3076923076923077,67.84158415841584,50,0.16,119.9,91,85.42124542124542,0.47706422018348627,0.45871559633027525,0.8348623853211009
