jockey_name,n_bets_total,best_track,best_track_roi_pct,best_track_hit_rate,worst_track,worst_track_roi_pct,roi_spread
井上幹太,1137,heavy,302.3636363636364,0.05454545454545454,soft,35.77777777777777,266.5858585858586
高畑皓一,855,heavy,196.97674418604652,0.06976744186046512,soft,0,196.97674418604652
大山龍太,898,heavy,245.00000000000003,0.08695652173913043,soft,57.67857142857142,187.3214285714286
中田貴士,802,heavy,200.99999999999997,0.075,soft,67.11340206185567,133.8865979381443
▲南部楓馬,124,good,130.56603773584905,0.09433962264150944,yielding,13.773584905660377,116.79245283018868
山田雄大,714,soft,136.26506024096386,0.08433734939759036,yielding,30.76502732240437,105.5000329185595
長谷部駿,1004,soft,92.32142857142858,0.14285714285714285,heavy,2.558139534883721,89.76328903654486
▲高橋愛叶,452,yielding,83.27102803738318,0.06542056074766354,soft,0,83.27102803738318
渡瀬和幸,790,soft,97.76595744680851,0.05319148936170213,yielding,16.431924882629108,81.33403256417941
永井孝典,1365,soft,112.21590909090908,0.06818181818181818,yielding,32.857142857142854,79.35876623376623
小牧太,1342,heavy,130.4,0.26,soft,51.50684931506849,78.89315068493151
板野央,393,good,86.64921465968587,0.041884816753926704,soft,10.634920634920634,76.01429402476523
大山真吾,1319,soft,97.36196319018406,0.11042944785276074,heavy,21.694915254237287,75.66704793594677
▲小谷哲平,508,yielding,96.58119658119658,0.07692307692307693,good,29.357798165137616,67.22339841605896
吉村智洋,1991,soft,120.51724137931035,0.28879310344827586,heavy,57.30337078651685,63.2138705927935
廣瀬航,2128,heavy,131.51162790697674,0.12790697674418605,yielding,70,61.51162790697674
☆高橋愛叶,246,good,82.68292682926828,0.08536585365853659,yielding,22.58064516129032,60.10228166797796
石堂響,1053,soft,65.7936507936508,0.05555555555555555,heavy,7.049180327868852,58.744470465781944
竹村達也,1188,yielding,89.91253644314868,0.0728862973760933,soft,31.4,58.51253644314868
★塩津璃菜,735,good,109.155672823219,0.0395778364116095,soft,50.73684210526316,58.41883071795585
☆山本屋太,588,good,103.5598705501618,0.06472491909385113,yielding,47.36111111111111,56.1987594390507
松木大地,1061,soft,86.74242424242425,0.08333333333333333,yielding,32.22591362126246,54.51651062116179
鴨宮祥行,1541,yielding,90.94059405940594,0.15099009900990099,soft,40.526315789473685,50.414278269932254
▲新庄海誠,393,good,69.66824644549763,0.08056872037914692,soft,19.791666666666664,49.876579778830965
田野豊三,1368,yielding,111.97044334975371,0.12315270935960591,soft,62.18749999999999,49.782943349753715
☆長尾翼玖,242,good,69.66101694915254,0.059322033898305086,soft,20.789473684210527,48.87154326494201
☆土方颯太,521,soft,85,0.16071428571428573,good,39.71786833855799,45.28213166144201
川原正一,927,good,80.42338709677419,0.11088709677419355,soft,35.24193548387097,45.181451612903224
☆小谷哲平,185,yielding,50.90909090909091,0.03896103896103896,good,6,44.90909090909091
山本咲希,1300,heavy,102.2,0.1,soft,57.54838709677419,44.65161290322581
長尾翼玖,460,yielding,43.85826771653543,0.023622047244094488,soft,0,43.85826771653543
▲土方颯太,323,soft,95.38461538461539,0.07692307692307693,yielding,52.30088495575222,43.08373042886317
土方颯太,208,good,40.74468085106383,0.05319148936170213,soft,0,40.74468085106383
小谷周平,1105,heavy,106.9811320754717,0.05660377358490566,yielding,70.13377926421404,36.847352811257664
杉浦健太,1576,good,84.93656286043829,0.08189158016147635,yielding,51.210045662100455,33.72651719833783
笹田知宏,1017,good,72.25746268656717,0.1417910447761194,heavy,41.11111111111111,31.14635157545606
佐々木世,1086,good,79.93006993006992,0.06643356643356643,soft,48.83870967741936,31.09136025265056
☆新庄海誠,549,yielding,50.73333333333333,0.11333333333333333,soft,19.692307692307693,31.041025641025634
大柿一真,1152,soft,76.27906976744187,0.08527131782945736,heavy,48.8,27.47906976744187
▲米玉利燕,300,good,114.33155080213903,0.10695187165775401,yielding,91.01694915254237,23.314601649596668
下原理,1809,soft,77.69633507853403,0.20418848167539266,heavy,58.35616438356165,19.340170694972386
松本幸祐,404,good,17.813953488372093,0.009302325581395349,soft,0,17.813953488372093
△小谷哲平,172,yielding,42.55813953488372,0.06976744186046512,good,28.558558558558563,13.99958097632516
山本屋太,286,yielding,144.3298969072165,0.041237113402061855,good,132.75641025641025,11.573486650806245
▲高橋洸佑,101,good,10,0.02564102564102564,yielding,0,10
新庄海誠,120,good,38.57142857142858,0.05357142857142857,yielding,34.90196078431372,3.669467787114854
