date,race_no,race_name,pred_umaban,pred_horse,pred_odds,win_prob_top,prob_gap,model_ev,win_hit,place_hit,hypothetical_place_return_yen,place_would_profit,place_payout_yen
20260423,4,陸ダッシュC3一,9,メイショウオニテ,2,0.8562489785583989,0.7139357256355441,1.7124979571167978,TRUE,TRUE,130,TRUE,130
20260113,4,おかげ踊燈籠7ハロンC3二,6,ハギノヴェルドン,2,0.8542497856523886,0.7382934527354613,1.7084995713047773,TRUE,TRUE,160,TRUE,160
20260402,12,全開で!馬九行久!青馬ひすみ賞B2,3,ナナン,1.7,0.9994372176106008,0.9990376984215896,1.6990432699380213,FALSE,TRUE,110,TRUE,110
20260422,12,B2,3,ヨドノタイヨウ,1.8,0.9109307376897507,0.8298660346573463,1.6396753278415515,TRUE,TRUE,100,FALSE,100
20260527,5,潤和ダッシュC2二,12,ヤマワケ,1.9,0.8542347967314573,0.7106853522687153,1.6230461137897687,FALSE,FALSE,0,FALSE,0
20260421,5,木間生スプリントC3,12,スノーデイ,1.6,0.99982234820814,0.999704305290652,1.599715757133024,TRUE,TRUE,120,TRUE,120
20260326,12,菜の花賞C1一,1,エイシンジャスパー,1.6,0.99366036004804,0.9876423861116466,1.5898565760768641,TRUE,TRUE,110,TRUE,110
20260408,9,C1二,9,プレデスティナーレ,1.6,0.9779977970315712,0.9583541238786236,1.564796475250514,TRUE,TRUE,110,TRUE,110
20260428,12,ハナミズキ賞C3一,4,ベイブ,1.5,0.9999984124891912,0.9999975732623282,1.499997618733787,TRUE,TRUE,120,TRUE,120
20260528,3,C3二,11,キーオブハート,1.5,0.9999979587665344,0.9999963038637149,1.4999969381498017,TRUE,TRUE,100,FALSE,100
20260415,6,C2一,7,カワキタボーダレス,1.5,0.9999696984712644,0.9999511659784434,1.4999545477068965,TRUE,TRUE,110,TRUE,110
20260326,5,小印南町7ハロンC1二,8,クライムエンジェル,1.5,0.9999424110921248,0.999898461149796,1.4999136166381872,FALSE,TRUE,120,TRUE,120
20260102,9,LOS TRANQUILOS de JA(C2),5,ギャランドゥ,1.6,0.933448586136437,0.8687818506867395,1.4935177378182993,TRUE,TRUE,110,TRUE,110
20260102,10,楽天競馬で初夢賞B2,12,ワンダーブリング,1.4,0.9999697751814616,0.999942571195479,1.399957685254046,TRUE,TRUE,110,TRUE,110
20260521,12,C2一,9,スプリガン,1.4,0.9999343165609668,0.9998901794763912,1.3999080431853534,FALSE,TRUE,110,TRUE,110
20260107,5,パカやろう!睦月の蹄音ダッシュC2,4,ゴッドアマベル,1.4,0.9974030119785195,0.9948238157312648,1.3963642167699273,TRUE,TRUE,120,TRUE,120
20260331,6,C3一,12,ポム,1.3,0.999977598027858,0.999956458152445,1.2999708774362155,TRUE,TRUE,100,FALSE,100
20260113,1,C3四,5,ピエスダルジャン,1.3,0.9997118060034866,0.9995283086963754,1.2996253478045328,TRUE,TRUE,140,TRUE,140
20260430,12,C1,2,サルファー,1.3,0.9995101677926832,0.9990521614854888,1.2993632181304882,FALSE,FALSE,0,FALSE,0
20260527,12,B2,1,ベラジオドリーム,1.3,0.997585791738468,0.99607098778822,1.2968615292600083,TRUE,TRUE,100,FALSE,100
20260416,12,青馬ひすみビクトリーロード賞C1,10,フラッシュケリー,1.2,0.9999522626992564,0.9999258356331068,1.1999427152391076,TRUE,TRUE,110,TRUE,110
20260430,5,出水ダッシュC2二,3,ポム,1.2,0.9999350840013196,0.9998857431075768,1.1999221008015835,TRUE,TRUE,110,TRUE,110
20260505,11,兵庫優駿重賞,12,ゴッドフェンサー,1.2,0.9998857288424858,0.9998106635634662,1.199862874610983,TRUE,TRUE,100,FALSE,100
20260527,9,C1,10,ジーティーエイト,1.2,0.9998131495428452,0.9997263231453616,1.1997757794514141,TRUE,TRUE,100,FALSE,100
20260318,5,知っとう? ひょうごの酪農のことC2二,11,アウセンザイター,1.2,0.9986112335445292,0.9972852106049666,1.198333480253435,TRUE,TRUE,120,TRUE,120
20260103,1,C3二,3,クインズノヴァ,1.2,0.9847673600466514,0.9723704688240964,1.1817208320559818,TRUE,TRUE,100,FALSE,100
20260414,5,波豆スプリントC2,12,ビクトリーブリッジ,1.1,0.9999920920834264,0.9999853540366378,1.0999913012917693,TRUE,TRUE,100,FALSE,100
20260514,12,C1,11,ビクトリーブリッジ,1,0.9999887502756504,0.9999825187662608,0.9999887502756504,TRUE,TRUE,100,FALSE,100
