odds_bin,n,win_rate,top3_rate
"[0,2)",2113,0.563180312352106,0.8608613345953621
"[2,3)",2232,0.32661290322580644,0.7016129032258065
"[3,5)",3489,0.19862424763542563,0.5666380051590714
"[5,10)",5449,0.11194714626536979,0.4428335474398972
"[10,20)",5502,0.06034169392948019,0.31115957833515084
"[20,50)",7133,0.02467405018926118,0.17874667040515912
"[50,Inf]",12272,0.005052151238591917,0.05084745762711865
