race_class,n,win_rate,top3_rate
C3,12061,0.09733852914352044,0.2925130586186883
C2,11887,0.09783797425759233,0.293513922772777
C1,5182,0.09590891547664994,0.2881126978000772
NA,3892,0.10508735868448099,0.315775950668037
B2,2052,0.097953216374269,0.29385964912280704
B1,1788,0.11073825503355705,0.33221476510067116
A1,677,0.10930576070901034,0.32791728212703103
A2,651,0.11674347158218126,0.35023041474654376
