race_class,n,n_races,hit_rate,total_stake,total_return,roi_pct,profit_yen
A1,689,75,0.10885341074020319,68900,46280,67.16981132075472,-22620
A2,663,77,0.11613876319758673,66300,35540,53.60482654600302,-30760
B1,1815,201,0.11074380165289256,181500,112600,62.03856749311295,-68900
B2,2073,203,0.09792571152918475,207300,108820,52.49397009165461,-98480
C1,5289,508,0.09604840234448857,528900,343220,64.89317451314048,-185680
C2,12078,1180,0.0976982944196059,1207800,847340,70.15565490975327,-360460
C3,12233,1192,0.09744134717567236,1223300,792720,64.80176571568708,-430580
