jockey_name,track_condition,n_bets,n_races,hit_rate,mean_odds,total_stake,total_return,roi_pct,profit_yen,overall_roi_pct,roi_lift,roi_lift_gt_threshold
井上幹太,heavy,55,55,0.05454545454545454,81.08363636363636,5500,16630,302.3636363636364,11130,66.17791869667208,4.568950524865048,TRUE
大山龍太,heavy,46,46,0.08695652173913043,62.0195652173913,4600,11270,245.00000000000003,6670,66.17791869667208,3.7021412100154256,TRUE
中田貴士,heavy,40,40,0.075,43.6775,4000,8040,200.99999999999997,4040,66.17791869667208,3.0372668702575525,TRUE
高畑皓一,heavy,43,43,0.06976744186046512,138.4418604651163,4300,8470,196.97674418604652,4170,66.17791869667208,2.9764723349625677,TRUE
山本屋太,yielding,97,97,0.041237113402061855,103.48865979381443,9700,14000,144.3298969072165,4300,66.17791869667208,2.180937384397894,TRUE
山田雄大,soft,83,83,0.08433734939759036,95.74216867469879,8300,11310,136.26506024096386,3010,66.17791869667208,2.059071408176762,TRUE
山本屋太,good,156,156,0.04487179487179487,102.96474358974359,15600,20710,132.75641025641025,5110,66.17791869667208,2.0060529685876363,TRUE
廣瀬航,heavy,86,86,0.12790697674418605,32.12906976744186,8600,11310,131.51162790697674,2710,66.17791869667208,1.9872433357985029,TRUE
▲南部楓馬,good,53,53,0.09433962264150944,102.82830188679246,5300,6920,130.56603773584905,1620,66.17791869667208,1.9729547303278199,TRUE
小牧太,heavy,50,50,0.26,12.368,5000,6520,130.4,1520,66.17791869667208,1.9704457705551488,TRUE
吉村智洋,soft,232,232,0.28879310344827586,7.7956896551724135,23200,27960,120.51724137931035,4760,66.17791869667208,1.8211095748070247,TRUE
▲米玉利燕,good,187,187,0.10695187165775401,33.244919786096254,18700,21380,114.33155080213903,2680,66.17791869667208,1.7276389625696777,TRUE
永井孝典,soft,176,176,0.06818181818181818,52.02102272727273,17600,19750,112.21590909090908,2150,66.17791869667208,1.6956699651624452,TRUE
田野豊三,yielding,406,406,0.12315270935960591,46.5948275862069,40600,45460,111.97044334975371,4860,66.17791869667208,1.691960786240085,TRUE
★塩津璃菜,good,379,379,0.0395778364116095,92.82401055408971,37900,41370,109.155672823219,3470,66.17791869667208,1.6494274067991832,TRUE
小谷周平,heavy,53,53,0.05660377358490566,78.39245283018867,5300,5670,106.9811320754717,370,66.17791869667208,1.6165683989824768,TRUE
▲米玉利燕,soft,39,39,0.07692307692307693,28.943589743589744,3900,4150,106.41025641025641,250,66.17791869667208,1.6079420221417073,TRUE
田野豊三,heavy,50,50,0.14,39.03,5000,5200,104,200,66.17791869667208,1.5715211667004254,TRUE
☆山本屋太,good,309,309,0.06472491909385113,73.69838187702265,30900,32000,103.5598705501618,1100,66.17791869667208,1.5648704672147624,TRUE
山本咲希,heavy,50,50,0.1,66.614,5000,5110,102.2,110,66.17791869667208,1.5443217618921488,TRUE
渡瀬和幸,soft,94,94,0.05319148936170213,107.87765957446808,9400,9190,97.76595744680851,-210,66.17791869667208,1.47731991836916,TRUE
大山真吾,soft,163,163,0.11042944785276074,65.32453987730061,16300,15870,97.36196319018406,-430,66.17791869667208,1.4712152498546338,TRUE
▲小谷哲平,yielding,117,117,0.07692307692307693,61.9,11700,11300,96.58119658119658,-400,66.17791869667208,1.4594172570442805,TRUE
▲土方颯太,soft,39,39,0.07692307692307693,58.753846153846155,3900,3720,95.38461538461539,-180,66.17791869667208,1.4413359812932895,TRUE
長谷部駿,soft,112,112,0.14285714285714285,62.34910714285714,11200,10340,92.32142857142858,-860,66.17791869667208,1.3950488378848214,TRUE
▲米玉利燕,yielding,59,59,0.0847457627118644,26.857627118644068,5900,5370,91.01694915254237,-530,66.17791869667208,1.3753371357857371,TRUE
鴨宮祥行,yielding,404,404,0.15099009900990099,30.590841584158415,40400,36740,90.94059405940594,-3660,66.17791869667208,1.3741833507371866,TRUE
小谷周平,good,629,629,0.025437201907790145,119.23147853736089,62900,56970,90.57233704292528,-5930,66.17791869667208,1.3686186998123278,TRUE
△土方颯太,good,65,65,0.09230769230769231,56.646153846153844,6500,5850,90,-650,66.17791869667208,1.3599702404138296,TRUE
竹村達也,yielding,343,343,0.0728862973760933,80.45510204081633,34300,30840,89.91253644314868,-3460,66.17791869667208,1.358648597808957,TRUE
松木大地,soft,132,132,0.08333333333333333,74.30606060606061,13200,11450,86.74242424242425,-1750,66.17791869667208,1.310745728344979,TRUE
板野央,good,191,191,0.041884816753926704,98.9738219895288,19100,16550,86.64921465968587,-2550,66.17791869667208,1.3093372588044725,TRUE
廣瀬航,good,1218,1218,0.15024630541871922,28.955172413793104,121800,104840,86.07553366174055,-16960,66.17791869667208,1.3006684911967332,TRUE
☆土方颯太,soft,56,56,0.16071428571428573,52.36071428571429,5600,4760,85,-840,66.17791869667208,1.2844163381686169,TRUE
杉浦健太,good,867,867,0.08189158016147635,59.03356401384083,86700,73640,84.93656286043829,-13060,66.17791869667208,1.2834577534803846,TRUE
▲高橋愛叶,yielding,107,107,0.06542056074766354,75.87663551401869,10700,8910,83.27102803738318,-1790,66.17791869667208,1.2582902224389638,TRUE
☆高橋愛叶,good,164,164,0.08536585365853659,83.96585365853659,16400,13560,82.68292682926828,-2840,66.17791869667208,1.249403554201323,TRUE
廣瀬航,soft,256,256,0.140625,24.785546875,25600,20860,81.484375,-4740,66.17791869667208,1.2312925006524515,TRUE
大山龍太,yielding,231,231,0.10822510822510822,66.88138528138528,23100,18800,81.38528138528139,-4300,66.17791869667208,1.2297951187965368,TRUE
川原正一,good,496,496,0.11088709677419355,53.73770161290322,49600,39890,80.42338709677419,-9710,66.17791869667208,1.2152601453877165,TRUE
小牧太,good,772,772,0.24870466321243523,9.549870466321243,77200,61840,80.10362694300518,-15360,66.17791869667208,1.2104283199077608,TRUE
佐々木世,good,572,572,0.06643356643356643,58.58706293706294,57200,45720,79.93006993006992,-11480,66.17791869667208,1.2078057379899045,TRUE
山本咲希,yielding,351,351,0.10256410256410256,40.65925925925926,35100,27850,79.34472934472934,-7250,66.17791869667208,1.198960784916909,TRUE
▲小谷哲平,soft,41,41,0.14634146341463414,64.25121951219512,4100,3230,78.78048780487805,-870,66.17791869667208,1.1904346548879863,TRUE
長谷部駿,good,591,591,0.09813874788494077,59.17394247038917,59100,46090,77.98646362098138,-13010,66.17791869667208,1.1784363297738936,TRUE
小谷周平,soft,124,124,0.04032258064516129,106.18387096774194,12400,9640,77.74193548387098,-2760,66.17791869667208,1.174741318780405,TRUE
☆土方颯太,yielding,118,118,0.09322033898305085,63.85762711864407,11800,9170,77.71186440677967,-2630,66.17791869667208,1.174286921336612,TRUE
