exotic_profile,label,n_races,win_bets,win_hit_rate,win_roi_pct,place_bets,place_roi_pct,sanren_bets,sanren_hit_rate,sanren_roi_pct,sanrentan_bets,sanrentan_hit_rate,sanrentan_roi_pct,wide_bets,wide_roi_pct,win_ken_share,exotic_ken_share,exotic_high_share
堅,堅,120,111,0.5045045045045045,83.78378378378379,111,83.51351351351352,116,0.45689655172413796,69.45402298850574,116,0.13793103448275862,101.31465517241381,116,73.22695035460993,0.925,1,0.9666666666666667
荒,荒,59,6,0.6666666666666666,163.33333333333334,6,116.66666666666667,41,0.2926829268292683,79.41463414634147,0,NA,NA,41,103.65853658536585,0.1016949152542373,0,0.6949152542372882
