date,race_no,race_name,pred_umaban,pred_horse,pred_odds,win_prob_top,prob_gap,win_profile,exotic_profile,skip_reason,model_ev,win_hit,place_hit,hypothetical_place_return_yen
20260401,9,C2一,2,カワキタボーダレス,1.8,0.9995717362429618,0.999404651450412,荒,荒,upset_profile,1.7992291252373314,FALSE,FALSE,0
20260115,5,ネコニスズ☆来場記念2ndC3,10,スマルト,1.8,0.9991741606658858,0.9984723958916206,荒,荒,upset_profile,1.7985134891985946,FALSE,TRUE,110
20260114,4,揖西町竹万ダッシ(C3),9,スパイウェア,1.8,0.998032815389046,0.9962511645662776,荒,荒,upset_profile,1.7964590677002827,TRUE,TRUE,110
20260415,5,社町スプリント3歳C1,9,シェナスカイ,1.8,0.9931292384857447,0.9893183442271858,荒,荒,upset_profile,1.7876326292743405,FALSE,FALSE,0
20260318,10,3月22日はばんえい記念賞B2,8,ヨドノタイヨウ,1.8,0.9903233881019023,0.9831324527455644,荒,荒,upset_profile,1.7825820985834242,FALSE,TRUE,130
20260113,3,C3三,9,カフジウヴァ,1.8,0.9834396268920276,0.9697162730973664,荒,荒,upset_profile,1.7701913284056496,TRUE,TRUE,100
20260604,4,奥海ダッシュ3歳C2,4,ララヴァニーユ,1.8,0.9832130580172562,0.9682730132079298,荒,荒,upset_profile,1.7697835044310612,FALSE,TRUE,100
20260423,4,陸ダッシュC3一,9,メイショウオニテ,2,0.856302702787751,0.7140418509132589,荒,堅,upset_profile,1.712605405575502,TRUE,TRUE,130
20260603,4,米地ダッシュC3,6,アレナトーレ,1.8,0.9508957988429556,0.9019152430650834,荒,荒,upset_profile,1.71161243791732,FALSE,TRUE,110
20260113,4,おかげ踊燈籠7ハロンC3二,6,ハギノヴェルドン,2,0.8543334067431596,0.7384660686120825,荒,荒,upset_profile,1.7086668134863192,TRUE,TRUE,160
20260605,7,3歳C1,11,スマートルヴァン,1.7,0.9998391607675916,0.99976833225035,荒,荒,upset_profile,1.6997265733049056,FALSE,TRUE,100
20260402,12,全開で!馬九行久!青馬ひすみ賞B2,3,ナナン,1.7,0.999436852537002,0.9990368838253184,荒,荒,upset_profile,1.6990426493129034,FALSE,TRUE,110
20260422,12,B2,3,ヨドノタイヨウ,1.8,0.9107689765664638,0.8295418951866473,荒,荒,upset_profile,1.6393841578196349,TRUE,TRUE,100
20260527,5,潤和ダッシュC2二,12,ヤマワケ,1.9,0.8541393350406159,0.7104944140032711,荒,荒,upset_profile,1.6228647365771702,FALSE,FALSE,0
20260421,5,木間生スプリントC3,12,スノーデイ,1.6,0.999822445331754,0.9997043662929,荒,荒,upset_profile,1.5997159125308065,TRUE,TRUE,120
20260326,12,菜の花賞C1一,1,エイシンジャスパー,1.6,0.9936554591585468,0.98763296367363,荒,荒,upset_profile,1.589848734653675,TRUE,TRUE,110
20260612,11,大阪発刊45周年記念 日刊ゲンダイ賞A1(A1A2),10,ウォルラス,1.6,0.9896702315281412,0.9829810029023324,荒,荒,upset_profile,1.583472370445026,TRUE,TRUE,110
20260408,9,C1二,9,プレデスティナーレ,1.6,0.9780342531746102,0.9584214959461004,荒,荒,upset_profile,1.5648548050793765,TRUE,TRUE,110
20260428,12,ハナミズキ賞C3一,4,ベイブ,1.5,0.9999983974070856,0.9999975558497144,荒,荒,upset_profile,1.4999975961106284,TRUE,TRUE,120
20260528,3,C3二,11,キーオブハート,1.5,0.9999979735604518,0.9999963277326216,荒,荒,upset_profile,1.4999969603406778,TRUE,TRUE,100
20260415,6,C2一,7,カワキタボーダレス,1.5,0.9999694519415177,0.999950716029942,荒,荒,upset_profile,1.4999541779122765,TRUE,TRUE,110
20260326,5,小印南町7ハロンC1二,8,クライムエンジェル,1.5,0.9999428383073948,0.999899275847822,荒,荒,upset_profile,1.4999142574610922,FALSE,TRUE,120
20260604,5,大垣内7ハロンC1二,11,アズユーライク,1.5,0.9999284978224036,0.99989377973953,荒,荒,upset_profile,1.4998927467336054,TRUE,TRUE,130
20260611,4,弦谷スプリント3歳C2,10,エイシンジコクテン,1.5,0.9966442937968336,0.993424467257402,荒,荒,upset_profile,1.4949664406952503,TRUE,TRUE,110
