win_profile,label,n_races,win_bets,win_hit_rate,win_roi_pct,place_bets,place_roi_pct,sanren_bets,sanren_hit_rate,sanren_roi_pct,sanrentan_bets,sanrentan_hit_rate,sanrentan_roi_pct,wide_bets,wide_roi_pct,win_ken_share,exotic_ken_share,exotic_high_share
堅,堅,117,117,0.5128205128205128,87.86324786324786,117,85.21367521367522,108,0.4537037037037037,69.96908809891809,107,0.14953271028037382,109.83644859813084,108,72.43346007604563,1,0.9487179487179487,0.9230769230769231
荒,荒,62,0,NA,NA,0,NA,49,0.32653061224489793,76.18110236220473,9,0,0,49,101.05633802816902,0,0.14516129032258066,0.7903225806451613
